physicalid,full_stree,ntaname,boro_name,count,count_per_100ft,with_nta_name
58752,LASALLE AVE,,,0.0,0.0,
92844,161 ST,,,0.0,0.0,
24510,33 ST,,,0.0,0.0,
20151,BEECH AVE,,,0.0,0.0,
83467,175 ST,,,0.0,0.0,
90668,ANDERSON RD,St. Albans,Queens,1.0,0.05657501967134764,"ANDERSON RD, St. Albans, Queens"
71433,SUTTER AVE,,,0.0,0.0,
25729,163 ST,,,0.0,0.0,
98474,ELLIS AVE,,,0.0,0.0,
86477,WILSON AVE,,,0.0,0.0,
53188,63 ST,,,0.0,0.0,
11566,BROOKVILLE BLVD,,,0.0,0.0,
49057,BKLYN AVE,East Flatbush-Farragut,Brooklyn,2.0,0.17108186633094308,"BKLYN AVE, East Flatbush-Farragut, Brooklyn"
146926,HICKS ST,,,0.0,0.0,
72136,B AVE,,,0.0,0.0,
62558,HRP,,,0.0,0.0,
101520,21 RD,,,0.0,0.0,
96694,TWELFTH AVE,,,0.0,0.0,
92078,B 138 ST,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,Queens,5.0,0.45652905725055276,"B 138 ST, Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, Queens"
53633,CLEVELAND AVE,,,0.0,0.0,
71895,LINWOOD ST,,,0.0,0.0,
29024,GRAND VIEW AVE,,,0.0,0.0,
176293,PECK AVE,,,0.0,0.0,
145428,NEWARK AVE,,,0.0,0.0,
73658,JAMAICA AVE,,,0.0,0.0,
12617,34 AVE,,,0.0,0.0,
181542,QUEENS BLVD,,,0.0,0.0,
70405,GRATTAN ST,,,0.0,0.0,
31570,131 AVE,,,0.0,0.0,
102365,WIMAN PL,,,0.0,0.0,
5796,184 ST,,,0.0,0.0,
96982,83 AVE,,,0.0,0.0,
121027,W  133 ST,,,0.0,0.0,
3263,RIVERSIDE DR,,,0.0,0.0,
36047,IRWIN AVE,,,0.0,0.0,
98640,DAKOTA PL,,,0.0,0.0,
101391,67 RD,Middle Village,Queens,1.0,0.0913217482270872,"67 RD, Middle Village, Queens"
73476,RIDGE ST,,,0.0,0.0,
94391,SANDALWOOD DR,,,0.0,0.0,
21931,MURRAY ST,,,0.0,0.0,
21574,STEINWAY ST,,,0.0,0.0,
114413,LAFAYETTE AVE,,,0.0,0.0,
49259,ARDEN AVE,,,0.0,0.0,
14725,BCH CHANNEL DR,,,0.0,0.0,
54231,WILLOWBROK RD,,,0.0,0.0,
13649,112 ST,Forest Hills,Queens,1.0,0.1472277463897592,"112 ST, Forest Hills, Queens"
59802,MORRIS AVE,,,0.0,0.0,
10332,UNION TNPK,,,0.0,0.0,
57475,E  226 ST,Williamsbridge-Olinville,Bronx,1.0,0.05288954475346372,"E  226 ST, Williamsbridge-Olinville, Bronx"
523,BROADWAY,,,0.0,0.0,
35802,GD CONCOURSE,,,0.0,0.0,
11285,82 AVE,,,0.0,0.0,
31843,84 ST,,,0.0,0.0,
83552,241 ST,Rosedale,Queens,2.0,0.18538399339425793,"241 ST, Rosedale, Queens"
8894,ASTORIA BL  S,,,0.0,0.0,
